"","L2_ACTTGA","L2_ATCACG","L2_CAGATC","L2_CGATGT","L2_CTTGTA","L2_GATCAG","L2_GCCAAT","L2_GGCTAC","L2_TAGCTT","L2_TGACCA","L2_TTAGGC","L3_ACAGTG","L3_ACTTGA","L3_CAGATC","L3_CGATGT","L3_CTTGTA","L3_GATCAG","L3_GCCAAT","L3_GGCTAC","L3_TAGCTT","L3_TGACCA","L3_TTAGGC","L6_ACAGTG","L6_ACTTGA","L6_ATCACG","L6_CAGATC","L6_CGATGT","L6_CTTGTA","L6_GATCAG","L6_GCCAAT","L6_GGCTAC","L6_TAGCTT","L6_TGACCA","L6_TTAGGC"
"B-cells",4.45272930731228e-19,0.00505304401437855,0.016804079915457,0,0.0885790013808392,0.12749695544903,0.00234256504204214,0.120769799396924,0.248316914282527,0.00916998827388075,0.0246519579303526,0.0146611382200002,0,0.0734727489274515,0.00561497827207666,0.000155431229048409,1.3568344339512e-19,0.0204813556559401,7.45819552947891e-19,8.38846922233949e-19,0,0,0.0144651084125849,0.0101678460064031,0.107749093689272,0,0.094837532997668,0.23251047579716,0.0318855776548507,0.0149082070253191,0.142316105726549,0.0685122347899754,0,0.00834837429749852
"Basophils",0.0604884111335325,0.0438547252870181,0.0828955348657413,0.0646500622228749,0.0438029189703942,0,0.0298356287873473,0.000889201109364792,9.59303732765262e-19,0.0809924027596321,0.102027043973156,0.0448443420606554,0.0921030464853476,0,0.0145929353891316,0.0837464720845513,0.0320917792392316,0.0489089607178337,0.0409395210446952,0.0886024984337576,0.0482516784466979,0.0599960968301404,0.0296407971941474,0.0893919732499073,0.00352779647030073,0.0301473582848431,0.0886030643623304,0,0.0409469253813645,0.0896855210167626,0,0.0291990970524857,0.0730510132278386,0.0135021758681523
"CD4+ memory T-cells",0,2.23576368243988e-19,2.56309579037754e-19,9.778079756595e-20,4.17003646109983e-19,1.49510951829401e-21,1.89742176886896e-19,5.19552238792169e-19,0.00546325247226812,0,1.2081458903443e-19,0,0,4.48631318386951e-20,0,2.36431965492404e-19,0,0,5.89080172205182e-19,2.67040350788902e-19,2.78817392272755e-19,0,0,0,0,0,0,0,0,1.37172085579699e-19,3.01802288901796e-18,1.40872502087803e-20,0,4.58958700533702e-20
"CD4+ naive T-cells",0,7.28225429401314e-20,0,2.29214443072505e-18,7.9454774718736e-20,0.0207041048362297,0,0,0.0170708563886562,0,0,2.63336339920155e-18,2.1945986169261e-18,0.00544066050102145,0.0118255034384174,0,2.93762784335505e-18,0,0,1.92090248433095e-19,8.86723868538412e-19,0,0,0,0.00178235029247873,2.484746500985e-19,1.06134524410515e-18,0.00356763481861343,0,2.1618361486195e-18,0.0111398339256968,0.00272235117657872,4.96347608527175e-19,0
"CD4+ T-cells",0,0.000370461044733871,0,0,0.000831700852179943,0.0166340696001306,0,5.7577250313295e-19,0.0212851868398004,2.7409019866917e-19,5.69858277145165e-18,1.97653110784419e-18,0,0.00835689025425293,0.00919041016094528,0,1.50678817324886e-18,6.51822641420606e-19,5.31381270489684e-19,0,0,0,0.00254461047906726,0,3.23739991552966e-19,5.66696674756342e-19,0,0.00938658999768067,0,1.23843482773816e-18,0.0109487765641897,0.00065483528145355,1.070905312155e-18,0.00551680403952022
"CD4+ Tcm",1.10579378098798e-20,0.00851447625029245,0,2.6580432377013e-18,0.0211323495181317,0.0259567195263746,0.00863038222329976,0.00498879848627056,0.0141840609575775,0.0179915785394356,2.22635663687219e-18,4.0078183510279e-19,3.40809579570642e-18,0.0131345228751984,0.0195735954033337,0.0143206868890147,0,0,9.67898124871925e-19,0.0167599819882174,0,4.13019783120137e-19,0.0215448101570978,4.58514663877416e-20,0.00529171945979992,0,0.00935850456737787,0.0255734648078176,0.00142300389656174,2.24957347371685e-19,0.0171667271652793,0.0135790169673925,0.0109388101925073,0.045310868162108
"CD4+ Tem",3.2306968369351e-18,0,0,0,0,0,1.13301747268617e-18,2.622059394654e-20,2.3228243297144e-18,2.63956805842696e-21,0,2.54361247863736e-18,0,0,0.00129869492340991,0,1.34811578452549e-18,0,0,3.7854062228213e-19,0,0,0.00751074682343751,3.36831611699532e-18,0,0,0,1.25624571636404e-18,0,2.11636008577902e-18,1.46477289906804e-18,4.2794616240118e-19,0,1.91569987438697e-19
"CD8+ T-cells",1.09098955511344e-19,0.0552060422997351,5.94980233313874e-19,5.42866961355263e-20,3.13332248306858e-19,0.0458808843082384,0.0685607181874579,0.0297871510927793,0.0572093323623889,0.0127350816685363,0,0,1.22871737316882e-18,0.0339811516841947,0.0445225524546997,0.0121953193882178,0.00473234677832445,0.00147335344257479,0.0225020277560924,0,1.36869239888292e-18,1.60543290481818e-19,0.0512452790899847,0,0.0108758996563654,5.67459543707811e-19,2.0056803690922e-18,0.0620551086760249,5.99670865311246e-19,1.04454846067958e-18,0.0718657254228738,0.0319070701274659,0.0113081854923028,0.0112993645552811
"CD8+ Tcm",0,0.0208545861167653,1.65497846999903e-18,1.18720720642139e-18,0,0.0115921167979209,0.0222719924869566,0,0.0223089549560478,4.24983773285193e-19,6.33590472633265e-18,2.56822191509419e-18,3.31332343620708e-18,0.0134117417761563,0.0198103397940668,0.00295893252464792,0,9.66653498873854e-20,0.00966065960089011,0,4.08200848541998e-19,1.60918431408531e-18,0.020131405293619,6.17488346831106e-19,9.49745152661557e-20,0,3.57197513045191e-18,0.0174583271804437,1.60486646287915e-20,1.0571197422585e-18,0.0184891656033915,0.00895396734629237,6.03942462456209e-19,4.23460221819339e-20
"CD8+ Tem",2.02685412708853e-18,0.0060313590022465,0,0,0,7.97128188832523e-19,0.00530059629095392,0,0.0106189302357821,1.41730358296599e-18,2.23655126306233e-18,3.69981308311944e-18,0,0,0.00772947520629438,0,0,0,8.71605361391775e-19,2.74876620043034e-18,0,0,0.00790085292491442,0,0,0,0,0.0156125382919165,2.11136111905591e-18,4.46934441781275e-19,2.85839356707223e-18,0,0,2.23408570752802e-19
