	L2_ACTTGA	L2_ATCACG	L2_CAGATC	L2_CGATGT	L2_CTTGTA	L2_GATCAG	L2_GCCAAT	L2_GGCTAC	L2_TAGCTT	L2_TGACCA	L2_TTAGGC	L3_ACAGTG	L3_ACTTGA	L3_CAGATC	L3_CGATGT	L3_CTTGTA	L3_GATCAG	L3_GCCAAT	L3_GGCTAC	L3_TAGCTT	L3_TGACCA	L3_TTAGGC	L6_ACAGTG	L6_ACTTGA	L6_ATCACG	L6_CAGATC	L6_CGATGT	L6_CTTGTA	L6_GATCAG	L6_GCCAAT	L6_GGCTAC	L6_TAGCTT	L6_TGACCA	L6_TTAGGC
Adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0	0.0052	0.0171	0	0.0887	0.1273	0.0025	0.1203	0.2477	0.0093	0.0254	0.015	0	0.0732	0.0057	4e-04	0	0.0208	0	0	0	0	0.0146	0.0109	0.1074	0	0.0951	0.2317	0.0322	0.0153	0.142	0.0686	0	0.0084
Basophils	0.0601	0.0422	0.0807	0.0648	0.0398	0	0.0294	0.0021	0	0.0798	0.0986	0.043	0.0903	0	0.0149	0.082	0.0311	0.0462	0.0391	0.0889	0.0483	0.0601	0.0281	0.0855	0.0033	0.0296	0.0839	0	0.0386	0.0865	0	0.0283	0.0697	0.0133
CD4+ T-cells	0	3e-04	0	0	5e-04	0.0167	0	0	0.0213	0	0	0	0	0.0084	0.0099	0	0	0	0	0	0	0	0.0026	0	0	0	0	0.009	0	0	0.011	0.001	0	0.0055
CD4+ Tcm	0	0.009	0	0	0.0222	0.027	0.0091	0.0055	0.0152	0.0184	0	0	0	0.0137	0.0207	0.0147	0	0	0	0.0172	0	0	0.022	0	0.0058	0	0.0102	0.0263	0.0018	0	0.0181	0.0144	0.0118	0.0459
CD4+ Tem	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0.0017	0	0	0	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0	0	0
CD4+ memory T-cells	0	0	0	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4+ naive T-cells	0	0	0	0	0	0.0206	0	0	0.017	0	0	0	0	0.0053	0.0116	0	0	0	0	0	0	0	0	0	0.0018	0	0	0.0035	0	0	0.011	0.0027	0	0
CD8+ T-cells	0	0.0551	0	0	0	0.0461	0.0683	0.0296	0.0568	0.0127	0	0	0	0.034	0.0447	0.0117	0.0051	0.0019	0.0229	0	0	0	0.051	0	0.0109	0	0	0.0613	0	0	0.072	0.032	0.0117	0.0113
CD8+ Tcm	0	0.0189	0	0	0	0.0108	0.0205	0	0.0211	0	0	0	0	0.0123	0.0197	0.0021	0	0	0.01	0	0	0	0.0173	0	0	0	0	0.0155	0	0	0.017	0.009	0	0
CD8+ Tem	0	0.0042	0	0	0	0	0.0035	0	0.0095	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.0052	0	0	0	0	0.0135	0	0	0	0	0	0
CD8+ naive T-cells	0	0.0092	0	0	0.0205	0.004	0.0081	0.0043	0.0057	0	0	0	0	0.0045	0.0031	0	0	0	0	0	0	0	0.0141	0	0	0	0.01	0.0077	0	0	0.0061	0.0014	0	0
CLP	0	0.0082	0	0.0064	0.0114	0.0059	0.005	0.001	0.014	4e-04	0	0	0.0039	0.0065	0.0029	0	0.0016	0	0.0023	0.0036	0	1e-04	0.0029	0	0.0044	0	0	0.0095	0	0	0.0072	0	0	0.0018
CMP	0.0096	0	0.0025	0.0161	0	0	0	0	0	0.0024	0	0	0.0015	0	0	0.0022	0	0	0	0.001	0.013	0	0	0	0	0.0108	0	0	0	0	0	0	0	0.0065
Chondrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Class-switched memory B-cells	0	0.0058	0.0028	0	0.0411	0.0387	0	0.033	0.0726	0.0028	0.0132	0.0074	0	0.0186	0	0	0	0.0043	0.0106	0	0	0	0.0014	0	0.021	6e-04	0.0467	0.0698	0.0021	0	0.0399	0.0379	0	0.0015
DC	0	0.0022	0	0	0	7e-04	0	0.0012	0	3e-04	0.0017	0	0	0.0023	6e-04	2e-04	0	0	0.0026	0.0064	0	0	0	0	0.0059	0	0	0	0.0012	0	0	0	0	2e-04
Endothelial cells	0	2e-04	0.0043	0	0.0013	0	0	0	0	0	0.0036	0.0043	0	0	0.0012	0	0.0021	0.0056	0.0035	0.0076	0.0034	0.0032	0	0	0	0.0023	0	0	0.0017	0.0034	0	0	0	0.0013
Eosinophils	0.0276	0	0.0178	0.0127	0	0.0018	0	0.0274	0	0.0244	0	0	0.0071	0.0048	0	0.0077	0.0083	0	0.0146	0.0619	0.0272	0.024	8e-04	0.0176	0.0215	0.0226	0	0	0.0015	0.02	0.0069	0.0031	0.0151	0.0281
Epithelial cells	0.0038	0.0033	0.0067	0.0017	0.0015	0.0014	0.0038	0.0041	8e-04	0.0067	0.0022	0.0063	0.001	0.0021	8e-04	0.0032	0.0058	0.0051	0.0064	9e-04	0.0046	0.0078	0.0012	0.0013	0.0027	0.0061	0.0014	0.001	9e-04	0.0136	0.002	0.0013	0.0094	0.0035
