"geneNames" "geneIDs" "feature" "id" "fc" "pval" "qval"
"1" "RPS4Y1" "CHS.59180" "transcript" "311116" 84.4452098743086 0 0
"2" "LINC00278" "CHS.59183" "transcript" "311141" 3.67893061079679 0 0
"3" "PRKY" "CHS.59202" "transcript" "311195" 6.34456265625586 0 0
"4" "USP9Y" "CHS.59263" "transcript" "311284" 6.13966028316389 0 0
"5" "UTY" "CHS.59266" "transcript" "311425" 4.00103502967554 0 0
"6" "UTY" "CHS.59266" "transcript" "311426" 3.22839898891853 0 0
"7" "UTY" "CHS.59266" "transcript" "311427" 6.15593802865302 0 0
"8" "LOC107987345" "CHS.59297" "transcript" "311514" 3.10078350596021 0 0
"9" "BCORP1" "CHS.59299" "transcript" "311516" 4.00220213768547 0 0
"10" "TXLNGY" "CHS.59301" "transcript" "311528" 4.15270880533284 0 0
"11" "EIF1AY" "CHS.59306" "transcript" "311562" 4.79724396880435 0 0
"12" "EIF1AY" "CHS.59306" "transcript" "311564" 4.19841646607009 0 0
"13" "TSIX" "CHS.58286" "transcript" "306242" 0.264239738119922 2.22044604925031e-16 8.38508749613818e-13
"14" "RPS4Y1" "CHS.59180" "transcript" "311122" 6.9507188639857 6.66133814775094e-16 2.18012274899593e-12
"15" "TTTY15" "CHS.59261" "transcript" "311282" 3.59944990939043 6.66133814775094e-16 2.18012274899593e-12
"16" "LINC00278" "CHS.59183" "transcript" "311143" 5.72616105371981 1.63202784619898e-14 5.00746943910002e-11
"17" "DDX3Y" "CHS.59264" "transcript" "311309" 4.07192357875582 8.92619311798626e-14 2.49566683108744e-10
"18" "DDX3Y" "CHS.59264" "transcript" "311307" 2.86977069071485 9.52571355128384e-14 2.49566683108744e-10
"19" "DDX3Y" "CHS.59264" "transcript" "311311" 3.41735770736687 9.65894031423886e-14 2.49566683108744e-10
"20" "PRKY" "CHS.59202" "transcript" "311196" 3.54286516968964 1.34225963677181e-13 3.2947105044201e-10
"21" "UTY" "CHS.59266" "transcript" "311428" 5.52324960273587 1.53210777398272e-13 3.58163023049331e-10
"22" "USP9Y" "CHS.59263" "transcript" "311285" 3.68668238158131 8.02913291408913e-13 1.79166451372029e-09
"23" "DDX3Y" "CHS.59264" "transcript" "311305" 2.87916767446534 1.39133149446025e-12 2.96970633591489e-09
"24" "DDX3Y" "CHS.59264" "transcript" "311296" 3.05151805638424 3.27731175531198e-11 6.70374119549066e-08
