	L2_ACTTGA	L2_ATCACG	L2_CAGATC	L2_CGATGT	L2_CTTGTA	L2_GATCAG	L2_GCCAAT	L2_GGCTAC	L2_TAGCTT	L2_TGACCA	L2_TTAGGC	L3_ACAGTG	L3_ACTTGA	L3_CAGATC	L3_CGATGT	L3_CTTGTA	L3_GATCAG	L3_GCCAAT	L3_GGCTAC	L3_TAGCTT	L3_TGACCA	L3_TTAGGC	L6_ACAGTG	L6_ACTTGA	L6_ATCACG	L6_CAGATC	L6_CGATGT	L6_CTTGTA	L6_GATCAG	L6_GCCAAT	L6_GGCTAC	L6_TAGCTT	L6_TGACCA	L6_TTAGGC
Adipocytes	241.784748441774	232.753480419301	620.609849732799	330.398906093398	319.184431770792	417.852998051833	481.198209418693	423.990880588761	293.948635574574	458.483578745351	719.409060082976	648.766705201221	243.699284573706	113.072963345443	432.650002279704	340.912347998439	266.39786410889	270.636564602593	496.734726270685	256.020298628493	491.866038384226	644.732321966327	258.852389331025	311.896445467411	233.20858065612	264.288280973557	530.489950463442	470.891472547854	193.430776621969	576.891544259346	385.356637393704	355.28921268655	329.725938966082	565.239743509617
Astrocytes	293.986280287585	119.915906075211	236.44508202966	252.251596074171	142.504699579115	230.222300497469	147.033799392649	227.721527305424	70.9459058912481	133.445126530823	273.197207205642	352.854618335907	183.56163741606	189.388806997959	238.064770588471	361.864520000633	260.330797699395	295.422317420501	390.96167498411	275.920848917481	253.14919995883	241.648925641038	235.035476433814	351.540080527603	212.10031716755	240.442501683517	127.115231901825	65.6880389917145	316.800185272327	328.559300254119	245.904571801175	200.299246477611	216.475463480588	242.721373270971
B-cells	282.309459656803	434.618051012517	658.989939127196	347.86252544604	1214.6373058065	1443.04931363293	372.606500321695	1406.18270747759	2021.23102440432	460.744089342673	749.824502743764	589.300607506443	84.0409606250626	1094.46598441563	418.886546360525	322.920972160248	196.654254258825	668.868691465626	168.715887853333	194.794775162858	135.578381332394	464.39869566315	520.659170597567	591.556693004621	1353.00181709311	299.045725147773	1279.96841690758	1939.04162633018	773.669227293036	646.413287986695	1529.05275647157	1063.09739910873	210.798508383241	470.40536134339
Basophils	545.611124047272	435.280887408714	611.988729058153	535.372137746658	469.241941136292	167.195394983232	401.252229993176	375.462312961433	293.122676774615	568.963728941488	651.127731689227	479.992355990135	619.528403209885	204.551059034392	329.626012019324	570.57538324076	447.298200966595	483.953442055149	420.601713571976	614.195476436293	519.405857673472	566.587667473733	386.194730441369	619.129325140206	379.803843409745	446.471951782818	620.347348840161	349.198591614258	471.73934485144	620.502160551058	268.207538184198	415.994710499648	562.959224636991	366.879176030846
CD4+ T-cells	237.552103533679	666.38659016897	269.65083827634	275.898518446404	562.659634229617	860.251095356626	639.110414211547	508.975264926468	980.609225931046	512.638344567969	155.745419839895	162.681623219761	6.5320274755099	662.642231015325	700.330068791719	428.093930324466	250.973157152332	337.259594235919	500.187330140071	462.907808142872	257.500462002632	246.496717662285	664.453944373668	288.502317356159	399.006718131913	121.474105303374	564.055479841857	853.882691737441	328.116147131587	250.156039445719	876.475750053309	608.199531090612	431.395527460987	598.982347192791
CD4+ Tcm	264.649284773158	428.724957328803	244.079290163674	135.312458320783	463.570763544017	602.497189126656	467.891974039092	396.689234639376	626.643713397575	423.224974612366	99.7062089039987	135.983997017888	24.8600541846378	432.881958499016	497.410772768927	442.643417953264	182.490947169985	281.979947663174	266.756766631551	454.397412223076	181.379768530532	300.62596647239	523.300872672159	249.642768972894	370.965016892289	209.626780255187	431.193291774398	650.148603021939	291.568256372815	247.223802514248	593.283337531573	450.942125423041	391.355673202745	592.440606191563
CD4+ Tem	253.437643910423	369.344730673137	255.408623416995	211.312633277512	191.395798454016	393.205446633249	353.563055886128	263.753994481107	358.701810792248	438.656127076498	216.029954532914	231.028919401722	196.701054279958	339.72954071985	427.02814360518	385.717587252956	318.23235689367	244.075482318218	231.152134636742	368.091983049007	105.034816033509	194.313045812546	482.952908507949	369.465810171347	243.794172624336	217.73044513533	164.608048886257	415.807263406805	298.162633591076	298.677028672504	370.421510933133	340.648777863631	327.29354994684	393.212597579878
CD4+ memory T-cells	200.117323733067	563.556489997759	186.07740505071	216.946036807388	275.345643140712	630.036117454606	578.708248257927	298.188099427045	797.400930188952	473.289612051321	103.392151271905	131.297491347655	126.456349213742	525.230919800829	425.612603858725	354.318910414876	334.206462451794	306.790551931492	473.530861605126	476.029636756415	130.668194813062	171.029900343561	543.929666224804	167.850892361574	223.930954034647	148.849111291635	183.926531400061	689.871012349836	326.620922152684	121.894291123612	567.138546495548	467.154918376377	224.811830160812	474.784337780416
CD4+ naive T-cells	298.420988000589	576.991778581128	354.762945709955	307.776364387989	488.585331558313	861.918746640627	611.710767991806	583.333547047222	936.889515083684	438.030881659519	157.397285655297	210.189274471731	78.586979730908	609.037765521739	686.778082328777	359.753021491205	210.19688442232	240.700282132713	463.73824337281	451.101755862959	298.462073819017	306.277691578021	516.208974007914	260.21443789907	578.279749186383	241.136111380815	492.177636461334	818.339877625763	299.399153451796	376.315317490287	850.680291563004	632.081124947963	486.506860151278	515.759890809691
CD8+ T-cells	314.091520721166	793.70589670177	387.776110309629	408.948142887557	328.113641834118	793.266916685874	883.572149230579	677.556169499525	903.145740357142	505.535963506986	214.118817908597	394.046654488554	31.0708981036515	652.755773938466	704.140933020839	553.237134829665	481.214070464859	458.91218888725	564.205136340282	378.442666041842	324.503204038294	400.471612657791	763.739795037821	302.867395496529	511.74833306639	234.029023905732	277.070964064356	893.96434810923	189.82209468207	418.892441812736	968.285960594307	650.561193987245	526.401681411105	405.896755317465
