	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34
Adipocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Astrocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
B-cells	1	0.0356633333333334	0	1	0	0	0.123293333333333	0	0	0.00278999999999996	0	0	1	0	0.0275266666666667	0.617696666666667	1	0	1	1	1	1	6.66666666671034e-06	0.000686666666666613	0	1	0	0	0	0	0	0	1	0.00545666666666667
Basophils	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
CD4+ T-cells	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0
CD4+ Tcm	1	0.311856666666667	1	1	0.221686666666667	0.19156	0.310826666666667	0.370126666666667	0.264863333333333	0.24558	1	1	1	0.274273333333333	0.231223333333333	0.267836666666667	1	1	1	0.252806666666667	1	1	0.222936666666667	1	0.363176666666667	1	0.29986	0.195923333333333	0.511856666666667	1	0.247183333333333	0.269773333333333	0.286983333333333	0.0795866666666667
CD4+ Tem	1	1	1	1	1	1	1	1	1	0.631713333333333	1	1	1	1	0.427453333333333	1	1	1	1	1	1	1	0.24488	1	1	1	1	1	1	1	1	1	1	1
CD4+ memory T-cells	1	1	1	1	1	1	1	1	0.30009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CD4+ naive T-cells	1	1	1	1	1	0.000966666666666671	1	1	0.00423666666666667	1	1	1	1	0.0978366666666667	0.0204166666666666	1	1	1	1	1	1	1	1	1	0.325923333333333	1	1	0.174296666666667	1	1	0.0237866666666666	0.23216	1	1
CD8+ T-cells	1	0	1	1	1	0	0	0.00117666666666671	0	0.0566266666666667	1	1	1	5.66666666667048e-05	0	0.0667333333333333	0.213286666666667	0.401986666666667	0.00910999999999995	1	1	1	0	1	0.07626	1	1	0	1	1	0	0.000340000000000007	0.0667333333333333	0.0714466666666667
CD8+ Tcm	1	0.00997000000000003	1	1	1	0.0844733333333333	0.00439000000000001	1	0.00297000000000003	1	1	1	1	0.0631966666666667	0.00690666666666662	0.40786	1	1	0.0979966666666666	1	1	1	0.0183933333333334	1	1	1	1	0.0306733333333333	1	1	0.0201866666666667	0.117093333333333	1	1
CD8+ Tem	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
CD8+ naive T-cells	1	0.167393333333333	1	1	0.0288	0.31619	0.18637	0.300893333333333	0.243653333333333	1	1	1	1	0.291083333333333	0.372543333333333	1	1	1	1	1	1	1	0.0933	1	1	1	0.15408	0.19369	1	1	0.231176666666667	0.520766666666667	1	1
CLP	1	0.18814	1	0.267283333333333	0.104266666666667	0.29521	0.353353333333333	0.797106666666667	0.0657133333333333	0.905723333333333	1	1	0.441516666666667	0.262056666666667	0.539996666666667	1	0.70455	1	0.610563333333333	0.468763333333333	1	0.971026666666667	0.539996666666667	1	0.398863333333333	1	1	0.147473333333333	1	1	0.228726666666667	1	1	0.67614
CMP	0.0670333333333333	1	0.209003333333333	0.0104366666666666	1	1	1	1	1	0.212093333333333	1	1	0.243736666666667	1	1	0.218563333333333	1	1	1	0.931503333333333	0.0308233333333333	1	1	1	1	0.05255	1	1	1	1	1	1	1	0.11472
Chondrocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Class-switched memory B-cells	1	0.178356666666667	0.238836666666667	1	0.000163333333333293	0.000656666666666639	1	0.00414000000000003	0	0.238836666666667	0.0853866666666667	0.153173333333333	1	0.04674	1	1	1	0.205576666666667	0.111816666666667	1	1	1	0.275986666666667	1	0.03485	0.635886666666667	0	0	0.25643	1	0.000349999999999961	0.000900000000000012	1	0.273003333333333
DC	1	0.151143333333333	1	1	1	0.927733333333333	1	0.21855	1	0.966666666666667	0.182396666666667	1	1	0.145766666666667	0.9371	0.977186666666667	1	1	0.12975	0.0245366666666667	1	1	1	1	0.0317233333333333	1	1	1	0.21855	1	1	1	1	0.977186666666667
Endothelial cells	1	0.93112	0.623726666666667	1	0.821393333333333	1	1	1	1	1	0.664553333333333	0.623726666666667	1	1	0.82954	1	0.761926666666667	0.5518	0.670853333333333	0.45625	0.676976666666667	0.689473333333333	1	1	1	0.748103333333333	1	1	0.790516666666667	0.676976666666667	1	1	1	0.821393333333333
Eosinophils	0.0230233333333333	1	0.0623899999999999	0.111476666666667	1	0.446603333333333	1	0.02351	1	0.03155	1	1	0.21967	0.294196666666667	1	0.204026666666667	0.1894	1	0.0897633333333333	0	0.02399	0.0327766666666667	0.528646666666667	0.0638233333333333	0.0424366666666667	0.0379433333333333	1	1	0.468023333333333	0.0493966666666666	0.225223333333333	0.369803333333333	0.08477	0.02194
Epithelial cells	0.37066	0.403713333333333	0.20978	0.523116666666667	0.539653333333333	0.547683333333333	0.37066	0.350916666666667	0.598386666666667	0.20978	0.483686666666667	0.228476666666667	0.581383333333333	0.491523333333333	0.598386666666667	0.410726666666667	0.2535	0.290886666666667	0.223753333333333	0.58999	0.3204	0.163646666666667	0.564433333333333	0.556073333333333	0.446563333333333	0.238236666666667	0.547683333333333	0.581383333333333	0.58999	0.0304433333333334	0.499266666666667	0.556073333333333	0.110746666666667	0.39042
Erythrocytes	0.597003333333333	1	1	0.586973333333333	0.560076666666667	1	0.646446666666667	0.60767	1	1	1	1	1	1	1	0.631826666666667	1	1	1	0.118253333333333	0.577296666666667	0.560076666666667	1	1	1	0.568423333333333	1	1	1	1	1	1	1	0.646446666666667
Fibroblasts	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GMP	0.245053333333333	1	1	0.500163333333333	1	0.79604	1	0.76856	1	1	1	1	1	0.819873333333333	1	1	1	1	1	0.777163333333333	0.268306666666667	0.914633333333333	1	1	1	0.421473333333333	1	1	1	1	0.86456	1	1	1
HSC	0.16522	0.239536666666667	0.252686666666667	0.139026666666667	1	0.312946666666667	0.308693333333333	1	1	1	0.311446666666667	0.266053333333333	0.217866666666667	1	0.17994	0.311446666666667	0.218666666666667	0.287326666666667	1	0.198246666666667	0.223833333333333	0.14373	1	0.110496666666667	0.124463333333333	0.09902	1	1	0.294603333333333	0.184156666666667	1	1	1	0.183436666666667
Hepatocytes	1	1	1	1	1	1	1	1	1	1	0.280956666666667	1	1	1	1	1	1	1	1	1	1	1	1	0.65355	1	1	1	1	1	1	1	1	1	1
Keratinocytes	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MEP	0.460026666666667	1	1	0.476003333333333	0.61189	0.43573	0.634536666666667	0.620193333333333	0.54698	1	1	1	0.86801	0.663136666666667	0.620193333333333	0.609213333333333	0.855143333333333	1	1	0.996003333333333	0.198196666666667	0.67749	0.778533333333333	1	0.654596666666667	0.560246666666667	0.9412	0.55758	1	0.88415	0.4715	0.437803333333333	1	0.887266666666667
MPP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.158796666666667	1	1	1	1	1	1	1	1	1	0.245113333333333	1	1	1
MSC	0.349126666666667	0.27336	0.198286666666667	1	1	0.205046666666667	0.300176666666667	0.0937766666666666	0.126356666666667	0.15358	1	1	0.0694533333333334	1	1	0.06079	1	0.19012	1	1	0.820993333333333	0.261176666666667	0.4136	0.236696666666667	0.0971866666666666	0.32567	0.367296666666667	0.00381333333333334	0.0847033333333334	0.189476666666667	0.19253	1	0.679453333333333	0.29632
Macrophages	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	0	0.666666666666667	1	1	0.666666666666667	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
Macrophages M1	0.51519	1	1	1	1	1	1	1	1	1	1	0.727476666666667	1	0.923103333333333	1	1	1	1	0.923103333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Macrophages M2	0.233363333333333	1	1	0.22474	1	1	1	1	1	1	0.212226666666667	1	0.103423333333333	1	1	1	1	1	1	1	0.251606666666667	1	1	1	1	0.611226666666667	1	1	1	1	1	1	0.600153333333333	0.616906666666667
Mast cells	0.0517766666666667	1	0.306023333333333	0.0738933333333334	0.961126666666667	0.361653333333333	0.939456666666667	0.115003333333333	0.916716666666667	0.50241	0.606313333333333	0.644936666666667	0.33253	0.798923333333333	1	0.869143333333333	0.56947	0.361653333333333	0.916716666666667	0.228693333333333	0.206	0.686233333333333	1	0.297923333333333	0.126133333333333	0.166823333333333	0.644936666666667	0.686233333333333	0.458506666666667	0.43126	0.166823333333333	0.39445	0.939456666666667	0.418466666666667
Megakaryocytes	0.154246666666667	0.34671	0.0271933333333333	0.30485	0.624096666666667	0.585413333333333	0.335326666666667	0.36998	1	0.36998	0.130133333333333	0.136463333333333	0.0933133333333334	0.395383333333333	0.23861	0.190413333333333	0.06759	0.01014	0.190413333333333	0.206766666666667	0.133236666666667	0.04638	1	0.11356	1	0.15825	1	1	0.00654333333333335	0.0632333333333334	0.30485	0.450426666666667	1	0.21876
Melanocytes	0.333333333333333	1	0.333333333333333	0	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	1	1	0	0.333333333333333	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	0.333333333333333	0.333333333333333	1	0.333333333333333	0.333333333333333	0.333333333333333	0	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	1	0.333333333333333	0.333333333333333
Memory B-cells	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0
Mesangial cells	0.915383333333333	1	1	0.915383333333333	0.186143333333333	1	1	1	1	1	0.1471	0.158743333333333	1	0.92184	0.0863333333333334	1	0.198133333333333	1	0.0248533333333333	1	0.178826666666667	0.943893333333333	1	0.0863333333333334	1	1	0.190096666666667	1	1	0.141796666666667	1	1	0.11992	1
Monocytes	0.244463333333333	1	1	0.288116666666667	0.3578	1	1	0.270016666666667	1	1	0.264696666666667	0.21014	0.226033333333333	1	0.4022	1	0.211826666666667	0.228853333333333	0.86841	1	0.231746666666667	0.45499	0.85582	1	0.92436	0.218026666666667	1	1	0.259953333333333	1	1	1	1	0.24658
Myocytes	0.277706666666667	1	0.983476666666667	1	0.282896666666667	1	1	1	1	1	0.230673333333333	1	1	1	1	1	1	1	0.265306666666667	0.98871	0.224916666666667	0.959713333333333	0.272793333333333	1	1	0.218763333333333	0.22134	1	1	1	1	1	0.248676666666667	0.966813333333333
NK cells	1	0.10239	1	1	1	1	1	1	1	1	1	1	1	1	0.18682	1	1	1	1	1	1	1	0.04505	1	1	1	1	1	1	1	1	1	1	1
NKT	0.364276666666667	0.469703333333333	0.0757266666666667	1	0.49032	1	0.192993333333333	0.49524	1	0.451946666666667	0.49032	0.23108	0.45851	1	1	0.11336	0.02255	0.546673333333333	1	0.586893333333333	0.140023333333333	0.00786666666666669	0.417606666666667	0.282356666666667	0.256073333333333	0.32886	0.480903333333333	0.514786666666667	0.200683333333333	0.18327	1	1	0.135463333333333	0.243926666666667
Neurons	1	1	1	1	1	1	1	1	0.666666666666667	1	1	1	1	1	1	0.666666666666667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Neutrophils	0.166623333333333	0.181413333333333	0.0809066666666667	0.16472	0.215106666666667	1	0.17008	0.217473333333333	1	0.12394	0.100833333333333	0.115236666666667	0.162026666666667	0.23355	0.162683333333333	0.1633	0.140523333333333	0.177686666666667	0.253426666666667	0.197816666666667	0.172053333333333	0.08034	0.16472	0.0874533333333334	0.225886666666667	0.181413333333333	0.220936666666667	1	0.161433333333333	0.0936066666666666	1	0.197816666666667	0.06868	0.14412
Osteoblast	1	1	1	1	1	1	1	1	1	1	1	0.145226666666667	1	0.26989	0.25318	1	0.0635599999999999	1	1	1	0.314073333333333	1	0.05926	1	1	0.887726666666667	1	1	1	1	1	1	1	1
Pericytes	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
Plasma cells	1	0.22351	0.11189	1	0.1365	0	0.1365	0.1365	0	0.116493333333333	0.289163333333333	0.99563	1	0	0.22351	0.99563	0.95431	0.95431	0.50782	1	1	0.537263333333333	0	0.966716666666667	0.00299666666666665	1	0.207	0.00714333333333328	0.107413333333333	0.17193	0	0	1	0.344983333333333
Platelets	0.276526666666667	0.555143333333333	0.54685	0.309066666666667	1	0.289053333333333	0.503476666666667	0.22521	1	1	1	0.329866666666667	1	0.345636666666667	0.475823333333333	1	0.27523	0.0973533333333333	0.28144	0.245733333333333	0.368773333333333	0.550816666666667	0.52373	0.612296666666667	0.337753333333333	0.328383333333333	1	1	0.135406666666667	0.401503333333333	0.298203333333333	0.41434	1	0.436906666666667
Preadipocytes	1	0.262833333333333	1	1	0.07977	0.05788	1	1	0.0743366666666667	1	1	0.857076666666667	1	0.0460566666666666	1	0.15844	1	1	0.0065466666666667	0.137086666666667	1	1	1	1	1	1	0.142083333333333	1	1	1	0.12928	0.00645333333333331	1	1
Sebocytes	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1
Skeletal muscle	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Smooth muscle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tgd cells	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Th1 cells	0.234153333333333	0.113433333333333	1	1	0.06076	0.0334433333333334	0.0973666666666667	0.15789	0	0.243536666666667	1	1	1	0.0548133333333334	0.20471	0.00779666666666667	0.243536666666667	0.19391	0.26005	1	0.170403333333333	1	0	1	1	0.135586666666667	0.10783	0	0.202023333333333	1	0	0.00924333333333338	0.139826666666667	1
Th2 cells	0.781953333333333	0.346293333333333	0.821053333333333	0.85177	1	0.785876666666667	0.301843333333333	0.789626666666667	0.304116666666667	0.597053333333333	1	0.825543333333333	0.487266666666667	0.275756666666667	0.20392	0.686443333333333	0.485506666666667	0.622056666666667	0.193716666666667	0.426556666666667	1	0.821053333333333	0.665196666666667	1	0.499806666666667	0.608013333333333	1	0.399093333333333	0.829626666666667	0.74281	1	0.473043333333333	0.6497	0.568313333333333
Tregs	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.17986	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aDC	1	1	1	1	1	1	1	1	0.872976666666667	1	1	1	1	1	1	0.878543333333333	1	1	1	1	1	1	1	0.778966666666667	1	1	1	1	1	1	1	1	1	1
cDC	0.0159433333333333	0.377426666666667	0.88971	0.07994	0.45987	0.878146666666667	0.28319	0.417493333333333	1	1	0.16584	0.440543333333333	0.0684533333333334	1	0.133943333333333	0.839	1	1	0.0130866666666667	0.292676666666667	0.0147233333333333	0.481373333333333	0.406766666666667	0.453093333333333	0.434623333333333	0.0905933333333333	1	1	1	1	0.48917	1	1	0.224053333333333
iDC	1	0.298813333333333	1	1	0.44937	0.254003333333333	1	0.127706666666667	1	0.502096666666667	0.24686	0.460456666666667	0.307323333333333	0.30271	0.878206666666667	1	0.914043333333333	0.48148	0.205233333333333	0.194913333333333	0.949463333333333	1	0.355106666666667	0.335793333333333	0.12046	1	0.362566666666667	0.34803	1	0.3716	0.240046666666667	1	1	1
ly Endothelial cells	1	1	0.45357	1	1	1	1	1	1	1	0.560646666666667	0.469813333333333	1	1	0.445806666666667	0.560646666666667	0.53122	0.48738	0.478303333333333	0.412553333333333	0.384173333333333	0.544993333333333	1	1	0.507246666666667	0.544993333333333	1	1	1	0.354603333333333	1	1	0.507246666666667	0.478303333333333
mv Endothelial cells	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.42666	1	1	1	0.931403333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
naive B-cells	1	0.666666666666667	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0.666666666666667	0
